"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test Case 205: Verify that marking multiple notifications as read works correctly.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark multiple notifications as read (up to 3)
5. Verify each notification is marked as read
","3303","test_CMS_205_Mark_Multiple_Notifications_As_Read","tests","Fri Jul 18 18:19:58 CST 2025","passed","Fri Jul 18 18:20:01 CST 2025","","test_11_CMS_Notifications","",""
"
    Test Case: NAF-91
    As a user during onboarding, I should be able to start one of the recommended programs right from the onboarding
    Scenario: Valid program selection and start
    Steps:
    1. Open the app, assume the user is logged in
    2. Click on first recommended program
    3. Verify 'Start Program' button is displayed
    4. Click on 'Start Program' button
    5. Finish first day of the program
    ","53096","test_NAF_4_2_0_valid_program_selection_and_start","tests","Fri Jul 18 18:30:27 CST 2025","passed","Fri Jul 18 18:31:20 CST 2025","TestProgramManagement","test_4_Program_Management","",""
"
Test that a user with admin role has access to the whole list of mobile users, 
where admins are identified by ""admin"" role.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
6. Edit user role
7. Verify that the user role is updated
","10733","test_NAF_7_6_0_Edit_User_Role","tests","Fri Jul 18 18:15:24 CST 2025","passed","Fri Jul 18 18:15:35 CST 2025","","test_7_CMS_Authentication","",""
"
    Test Case: NAF-60
    As a registered user I can view and update my profile settings
    Scenario: Modify Mobile
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Enter mobile number
    5. Click on ""Save"" button   
    ","30537","test_NAF_3_4_0_modify_mobile","tests","Fri Jul 18 18:28:23 CST 2025","passed","Fri Jul 18 18:28:54 CST 2025","TestPersonInformationManagement","test_3_Account_Setup","",""
"
Test that an admin user can upload a video thumbnail.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Upload/Change thumbnail for the video
6. Verify thumbnail is successfully uploaded
","30615","test_NAF_8_12_0_Upload_Thumbnail","tests","Fri Jul 18 18:17:13 CST 2025","passed","Fri Jul 18 18:17:44 CST 2025","","test_8_CMS_Video_Management","",""
"
    Test Case: NAF-14
    As a user, I want to log in with my email and password
    Scenario: Login Unsuccessful due to Incorrect Password
    
    Steps:
    1. Open the app
    2. Click on ""Log in"" button
    3. Click on ""Sign in with your email"" button
    4. Enter valid email: qingqin@topflightapps.com
    5. Enter incorrect password: Aa1234567
    6. Click ""Log in"" button
    7. Verify error message appears
    
    Expected Result: Error message ""The password you entered is incorrect"" should be displayed
    ","13620","test_NAF_2_2_0_login_with_wrong_password","tests","Fri Jul 18 18:24:18 CST 2025","passed","Fri Jul 18 18:24:32 CST 2025","TestLogin","test_2_Authentication","",""
"
Test that an admin user can view all videos uploaded to the CMS platform.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Verify all video columns are displayed correctly
5. Verify videos list is accessible
","4679","test_NAF_8_2_0_View_All_Videos_Uploaded","tests","Fri Jul 18 18:15:40 CST 2025","passed","Fri Jul 18 18:15:44 CST 2025","","test_8_CMS_Video_Management","",""
"
    Test Case: NAF-271
    As a user, I want to interact with post: ""Like"" post, leave comments
    Scenario: Verify liking a post
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Create a new post
    4. Find the created post in the feed
    5. Click like button for the post
    6. Verify like count increases
    
    Expected Result: User should be able to like posts and see like count increase
    ","45722","test_NAF_14_4_0_verify_liking_post","tests","Fri Jul 18 18:39:26 CST 2025","passed","Fri Jul 18 18:40:12 CST 2025","TestCommunityManagement","test_14_Community","",""
"
Test Case 214: Verify ability to delete comment from comment/question thread.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Open the first comment thread
7. Delete comment in thread
8. Verify comment is deleted successfully
","20690","test_CMS_214_Delete_From_Comment_Thread","tests","Fri Jul 18 18:21:08 CST 2025","passed","Fri Jul 18 18:21:29 CST 2025","","test_11_CMS_Notifications","",""
"
Test that an admin user can publish a video and verify it remains published after logout/login.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Publish the video
6. Logout and login again
7. Verify video is still published
","21354","test_NAF_8_9_0_Publish_Video","tests","Fri Jul 18 18:16:29 CST 2025","passed","Fri Jul 18 18:16:51 CST 2025","","test_8_CMS_Video_Management","",""
"
Test Case 199: Verify the notifications page loads correctly.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Verify tabs are displayed correctly
5. Verify table headers are present
6. Verify notification rows are loaded
","5623","test_CMS_199_Verify_Notifications_Page","tests","Fri Jul 18 18:19:10 CST 2025","passed","Fri Jul 18 18:19:15 CST 2025","","test_11_CMS_Notifications","",""
"
Test Case 209: Verify ability to access comment from notification.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Click on the first notification entry
7. Verify user is redirected to Comments view
8. Verify comment view access is successful
","3786","test_CMS_209_Access_Comment_From_Notification","tests","Fri Jul 18 18:20:18 CST 2025","passed","Fri Jul 18 18:20:22 CST 2025","","test_11_CMS_Notifications","",""
"
Test that an admin user can navigate to the program section of the app through the side menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section via side menu
4. Verify successful navigation to programs section
","4276","test_NAF_9_1_0_Navigate_To_Programs_Section","tests","Fri Jul 18 18:17:44 CST 2025","passed","Fri Jul 18 18:17:48 CST 2025","","test_9_Programs_Management","",""
"
    Test Case: NAF-432
    As a user I want to create text or text + image posts to share with the community
    Scenario: Verify edit post after sending
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Create a new post
    4. Find the created post in the feed
    5. Attempt to edit the post
    6. Verify post can be edited
    
    Expected Result: Post should be editable after creation (if edit functionality is implemented)
    ","29761","test_NAF_14_2_0_verify_edit_post_after_sending","tests","Fri Jul 18 18:37:49 CST 2025","passed","Fri Jul 18 18:38:18 CST 2025","TestCommunityManagement","test_14_Community","",""
