"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test that an admin user can upload a video thumbnail.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Upload/Change thumbnail for the video
6. Verify thumbnail is successfully uploaded
","28709","test_NAF_8_12_0_Upload_Thumbnail","tests","Fri Jul 25 11:54:09 CST 2025","passed","Fri Jul 25 11:54:38 CST 2025","","test_8_CMS_Video_Management","",""
"
    Test Case: NAF-269
    As a user I want to create text or text + image posts to share with the community
    Scenario: Verify viewing comments on a post
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Click on a comment button for any post
    4. Verify comment section opens
    5. Add a comment
    6. Verify comment is posted successfully
    
    Expected Result: User should be able to view and add comments to posts
    ","12146","test_NAF_14_2_0_verify_viewing_comments_on_post","tests.android","Fri Jul 25 12:12:25 CST 2025","passed","Fri Jul 25 12:12:37 CST 2025","TestCommunityManagement","test_14_Community","",""
"
Test that an admin user can delete a video using the 3 dots menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Delete the video using 3 dots menu
6. Verify video is successfully deleted
","22377","test_NAF_8_10_0_Delete_Video","tests","Fri Jul 25 11:53:47 CST 2025","passed","Fri Jul 25 11:54:09 CST 2025","","test_8_CMS_Video_Management","",""
"
    Test Case: NAF-268
    As a user I want to create text or text + image posts to share with the community
    Scenario: Verify post fields after sending
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Click ""NEW POST"" button
    4. Verify post input field is present and editable
    5. Enter text content
    6. Click ""Post"" button
    7. Verify post fields are cleared after sending
    
    Expected Result: Post input field should be present, editable, and cleared after posting
    ","11848","test_NAF_14_2_0_verify_post_fields_after_sending","tests.android","Fri Jul 25 12:11:44 CST 2025","passed","Fri Jul 25 12:11:55 CST 2025","TestCommunityManagement","test_14_Community","",""
"
Test that an admin user can navigate to the program section of the app through the side menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section via side menu
4. Verify successful navigation to programs section
","4421","test_NAF_9_1_0_Navigate_To_Programs_Section","tests","Fri Jul 25 11:54:38 CST 2025","passed","Fri Jul 25 11:54:42 CST 2025","","test_9_Programs_Management","",""
"
Test Case 204: Verify the ""Mark as unread"" functionality after marking as read.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Switch to Read tab
5. Mark the first read notification as unread
6. Verify notification has been marked as unread
","7121","test_CMS_204_Mark_Notification_As_Unread","tests","Fri Jul 25 11:56:37 CST 2025","failed","Fri Jul 25 11:56:44 CST 2025","","test_11_CMS_Notifications","",""
"
    Test Case: NAF-15
    As a user, I want to log in with my email and password
    Scenario: Login Unsuccessful due to Non-existent Email
    
    Steps:
    1. Open the app
    2. Click on ""Log in"" button
    3. Click on ""Sign in with your email"" button
    4. Enter non-existent email: test@example.com
    5. Enter password: testpassword
    6. Click ""Log in"" button
    7. Verify error message appears
    
    Expected Result: Error message ""There is no account associated with this email. Please sign up."" should be displayed
    ","24301","test_NAF_2_2_0_login_with_wrong_email","tests.android","Fri Jul 25 11:56:52 CST 2025","passed","Fri Jul 25 11:57:16 CST 2025","TestAuthentication","test_2_Authentication","",""
"
    Test Case: NAF-265
    As a user, I want to join a community based on my selected stage during onboarding.
    Scenario: Verify community feed navigation
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Verify community feed is displayed
    4. Verify community feed navigation is working
    ","454","test_NAF_14_1_0_verify_community_feed_navigation","tests.android","Fri Jul 25 12:11:03 CST 2025","passed","Fri Jul 25 12:11:04 CST 2025","TestCommunityManagement","test_14_Community","",""
"
    Test Case: NAF-40
    As a registered user I can view and update profile image
    Scenario: Edit Profile Picture
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Click on ""Take a picture"" button (might not stable on simulator)
    5. Select a photo from the device
    
    Note: This test is skipped because camera functionality is not supported in the current simulator
    ","0","test_NAF_3_3_0_edit_profile_picture","tests.android","Fri Jul 25 12:00:58 CST 2025","skipped","Fri Jul 25 12:00:58 CST 2025","TestPersonInformationManagement","test_3_Account_Setup","",""
"
Test that an admin user can publish a video and verify it remains published after logout/login.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Publish the video
6. Logout and login again
7. Verify video is still published
","20214","test_NAF_8_9_0_Publish_Video","tests","Fri Jul 25 11:53:27 CST 2025","passed","Fri Jul 25 11:53:47 CST 2025","","test_8_CMS_Video_Management","",""
