"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test that an admin user can upload a video thumbnail.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Upload/Change thumbnail for the video
6. Verify thumbnail is successfully uploaded
","34159","test_NAF_8_12_0_Upload_Thumbnail","tests","Tue Aug 19 20:36:25 CST 2025","passed","Tue Aug 19 20:37:00 CST 2025","","test_8_CMS_Video_Management","",""
"
    Test Case: NAF-40
    As a registered user I can view and update profile image
    Scenario: Edit Profile Picture
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Click on ""Take a picture"" button (might not stable on simulator)
    5. Select a photo from the device
    
    Note: This test is skipped because camera functionality is not supported in the current simulator
    ","5941","test_NAF_3_3_0_edit_profile_picture","tests.ios","Tue Aug 19 21:06:28 CST 2025","passed","Tue Aug 19 21:06:34 CST 2025","TestPersonInformationManagement","test_3_Account_Setup","",""
"
Test Case 210: Verify ability to reply to a comment from notification.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Click on the first notification entry
7. Reply to the selected comment
8. Verify reply functionality works correctly
","16470","test_CMS_210_Reply_To_Comment","tests","Tue Aug 19 20:40:04 CST 2025","passed","Tue Aug 19 20:40:20 CST 2025","","test_11_CMS_Notifications","",""
"
Test that an admin user can view all videos uploaded to the CMS platform.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Verify all video columns are displayed correctly
5. Verify videos list is accessible
","6067","test_NAF_8_2_0_View_All_Videos_Uploaded","tests","Tue Aug 19 20:34:34 CST 2025","passed","Tue Aug 19 20:34:40 CST 2025","","test_8_CMS_Video_Management","",""
"
    Test Case: NAF-12
    As a user, I want to log in with my email and password
    Scenario: Successful Login
    
    Steps:
    1. Open the app
    2. Click on ""Log in"" button
    3. Click on ""Sign in with your email"" button
    4. Enter valid email and password
    5. Click ""Log in"" button
    6. Verify successful login
    
    Expected Result: User should be successfully logged in and redirected to the main app
    ","32215","test_NAF_2_2_0_successful_login","tests.ios","Tue Aug 19 21:04:34 CST 2025","passed","Tue Aug 19 21:05:06 CST 2025","TestAuthentication","test_2_Authentication","",""
"
    Test Case: NAF-63
    As a registered user I can view and update my profile settings
    Scenario: Change Password, Fail with Old Password and Success with New Password
    
    Steps:
    1. Open the app, the user is logged in
    2. Log out
    3. Login with old password, should fail
    4. Login with new password, should success
    5. reset the password with default old one
    ","92503","test_NAF_3_4_0_change_password_wrong_old_password","tests.android","Tue Aug 19 20:50:25 CST 2025","passed","Tue Aug 19 20:51:57 CST 2025","TestPersonInformationManagement","test_3_Account_Setup","",""
"
Test Case 203: Verify that there is at least one unread notification.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Verify notification columns are visible
7. Verify all required columns are present
","9160","test_CMS_203_Verify_Unread_Notifications_Exist","tests","Tue Aug 19 20:39:04 CST 2025","passed","Tue Aug 19 20:39:13 CST 2025","","test_11_CMS_Notifications","",""
"
    Test Case: NAF-433
    As a user, I want to be able to log out from the app
    Scenario: Logout
    
    Steps:
    1. Open the app
    2. Go to ""My Profile"" button
    3. Click on ""Log out"" button
    4. Verify successful logout
    
    Expected Result: User should be successfully logged out and redirected to the welcome page
    ","35350","test_logout_returns_to_welcome_page","tests.android","Tue Aug 19 21:02:02 CST 2025","passed","Tue Aug 19 21:02:38 CST 2025","TestLogout","test_2_Authentication_logout","",""
"
    Test Case: NAF-19
    As a user, I want to stay logged in for as long as possible, so that I don't have to log in frequently
    Scenario: Stay Logged In (Quick Test - 30 seconds)
    
    Steps:
    1. Open the app, user is already logged in
    2. Close the app, wait for 30 seconds
    3. Open the app, User is still logged in and is redirected to the Home page
    ","39521","test_NAF_2_4_0_stay_logged_in_quick","tests.android","Tue Aug 19 20:46:24 CST 2025","passed","Tue Aug 19 20:47:03 CST 2025","TestAuthentication","test_2_Authentication","",""
"
Test that an admin user can select a video and update its details.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Select the uploaded video
6. Update video details
7. Verify changes are saved successfully
","20137","test_NAF_8_8_0_Update_Video_Details","tests","Tue Aug 19 20:35:15 CST 2025","passed","Tue Aug 19 20:35:35 CST 2025","","test_8_CMS_Video_Management","",""
