"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Test Case: NAF-266
    As a user I want to create text or text + image posts to share with the community
    Scenario: Verify creating a text-only post
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Click ""NEW POST"" button
    4. Enter text content
    5. Click ""Post"" button
    6. Verify post is created successfully
    
    Expected Result: Text-only post should be created and visible in the community feed
    ","28706","test_NAF_14_2_0_create_text_only_post","tests","Mon Jul 14 22:42:26 JST 2025","passed","Mon Jul 14 22:42:55 JST 2025","TestCommunityManagement","test_14_Community","",""
"
    Test Case: NAF-55
    As a registered user I can view and update my profile settings
    Scenario: Modify Name
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Enter name
    5. Click on ""Save"" button
    ","42060","test_NAF_3_4_0_modify_name","tests","Mon Jul 14 22:33:09 JST 2025","broken","Mon Jul 14 22:33:51 JST 2025","TestPersonInformationManagement","test_3_Account_Setup","",""
"
    Test Case: NAF-272
    As a user, I want to interact with post: ""Like"" post, leave comments
    Scenario: Verify adding a comment to a post
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Find a post with comments
    4. Click on comment button
    5. Add a new comment
    6. Verify comment is added successfully
    
    Expected Result: User should be able to add comments to posts
    ","9369","test_NAF_14_4_0_verify_adding_comment_to_post","tests","Mon Jul 14 22:44:41 JST 2025","passed","Mon Jul 14 22:44:50 JST 2025","TestCommunityManagement","test_14_Community","",""
"
Test that an admin user can view all programs list.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section
4. Verify programs list is displayed
5. Verify all programs are accessible
","1446","test_NAF_920_View_Programs_List","tests","Mon Jul 14 22:20:24 JST 2025","passed","Mon Jul 14 22:20:26 JST 2025","","test_9_Programs_Management","",""
"
Test Case 212: Verify ability to close comments view.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Click on the first notification entry
7. Close the comments view using Escape key
8. Verify comments view is closed successfully
","2880","test_CMS_212_Close_Comments_View","tests","Mon Jul 14 22:22:32 JST 2025","passed","Mon Jul 14 22:22:34 JST 2025","","test_11_CMS_Notifications","",""
"
Test Case 205: Verify that marking multiple notifications as read works correctly.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark multiple notifications as read (up to 3)
5. Verify each notification is marked as read
","1935","test_CMS_205_Mark_Multiple_Notifications_As_Read","tests","Mon Jul 14 22:21:51 JST 2025","passed","Mon Jul 14 22:21:53 JST 2025","","test_11_CMS_Notifications","",""
"
    Test Case: NAF-14
    As a user, I want to log in with my email and password
    Scenario: Login Unsuccessful due to Incorrect Password
    
    Steps:
    1. Open the app
    2. Click on ""Log in"" button
    3. Click on ""Sign in with your email"" button
    4. Enter valid email: qingqin@topflightapps.com
    5. Enter incorrect password: Aa1234567
    6. Click ""Log in"" button
    7. Verify error message appears
    
    Expected Result: Error message ""The password you entered is incorrect"" should be displayed
    ","12988","test_NAF_2_2_0_login_with_wrong_password","tests","Mon Jul 14 22:27:56 JST 2025","passed","Mon Jul 14 22:28:09 JST 2025","TestLogin","test_2_Authentication","",""
"
    Test Case: NAF-15
    As a user, I want to log in with my email and password
    Scenario: Login Unsuccessful due to Non-existent Email
    
    Steps:
    1. Open the app
    2. Click on ""Log in"" button
    3. Click on ""Sign in with your email"" button
    4. Enter non-existent email: test@example.com
    5. Enter password: testpassword
    6. Click ""Log in"" button
    7. Verify error message appears
    
    Expected Result: Error message ""There is no account associated with this email. Please sign up."" should be displayed
    ","14466","test_NAF_2_2_0_login_with_wrong_email","tests","Mon Jul 14 22:27:38 JST 2025","passed","Mon Jul 14 22:27:52 JST 2025","TestLogin","test_2_Authentication","",""
"
Test that an admin user can navigate to the program section of the app through the side menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section via side menu
4. Verify successful navigation to programs section
","2386","test_NAF_9_1_0_Navigate_To_Programs_Section","tests","Mon Jul 14 22:20:22 JST 2025","passed","Mon Jul 14 22:20:24 JST 2025","","test_9_Programs_Management","",""
"
Test that a user with admin role can successfully log out from the CMS.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
6. Click the logout button
7. Verify that the user is logged out
","4119","test_NAF_7_3_0_Logout_of_AdminPanel","tests","Mon Jul 14 22:18:20 JST 2025","passed","Mon Jul 14 22:18:24 JST 2025","","test_7_CMS_Authentication","",""
"
Test that a user with admin role has access to the whole list of mobile users, 
where admins are identified by ""admin"" role.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
6. Edit user role
7. Verify that the user role is updated
","6494","test_NAF_7_6_0_Edit_User_Role","tests","Mon Jul 14 22:18:43 JST 2025","passed","Mon Jul 14 22:18:50 JST 2025","","test_7_CMS_Authentication","",""
"
    Test Case: NAF-265
    As a user, I want to join a community based on my selected stage during onboarding.
    Scenario: Verify community feed navigation
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Verify community feed is displayed
    4. Verify community feed navigation is working
    ","400","test_NAF_14_1_0_verify_community_feed_navigation","tests","Mon Jul 14 22:42:13 JST 2025","passed","Mon Jul 14 22:42:13 JST 2025","TestCommunityManagement","test_14_Community","",""
"
    Test Case: NAF-37, NAF-39
    As a registered user I can view and update my bio
    Scenario: Update Bio
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Enter bio content
    5. Click on ""Save"" button
    6. Verify bio content is updated
    
    Expected Result: Bio content is updated
    ","25954","test_NAF_3_2_0_update_bio","tests","Mon Jul 14 22:30:10 JST 2025","passed","Mon Jul 14 22:30:36 JST 2025","TestPersonInformationManagement","test_3_Account_Setup","",""
"
    Test Case: NAF-433
    As a user, I want to be able to log out from the app
    Scenario: Logout
    
    Steps:
    1. Open the app
    2. Go to ""My Profile"" button
    3. Click on ""Log out"" button
    4. Verify successful logout
    
    Expected Result: User should be successfully logged out and redirected to the welcome page
    ","35078","test_logout_returns_to_welcome_page","tests","Mon Jul 14 22:47:21 JST 2025","passed","Mon Jul 14 22:47:56 JST 2025","TestLogout","test_2_Authentication_logout","",""
"
Test that an admin user can delete a video using the 3 dots menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Delete the video using 3 dots menu
6. Verify video is successfully deleted
","17222","test_NAF_8_10_0_Delete_Video","tests","Mon Jul 14 22:19:39 JST 2025","passed","Mon Jul 14 22:19:56 JST 2025","","test_8_CMS_Video_Management","",""
"
    Test Case: NAF-98, NAF-99, NAF-105
    As a user I can enroll/unenroll any of the programs
    Scenario: Start a program
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to the Programs tab
    3. Click on a program card
    4. If not enrolled, enroll first
    5. Click 'Start Program' button
    6. Verify 'Day 1 complete!' popup is displayed
    7. Click 'Back Home' button
    ","49503","test_NAF_4_5_0_start_a_program","tests","Mon Jul 14 22:38:44 JST 2025","passed","Mon Jul 14 22:39:34 JST 2025","TestProgramManagement","test_4_Program_Management","",""
