"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 23 17:29:51 UTC 2025","Thu Oct 23 17:30:18 UTC 2025","27019","tests","test_8_CMS_Video_Management","","","","test_NAF_8_9_0_Publish_Video","
Test that an admin user can publish a video and verify it remains published after logout/login.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Publish the video
6. Logout and login again
7. Verify video is still published
"
"passed","Thu Oct 23 17:24:43 UTC 2025","Thu Oct 23 17:25:06 UTC 2025","22207","tests","test_8_CMS_Video_Management","","","","test_NAF_8_2_0_View_All_Videos_Uploaded","
Test that an admin user can view all videos uploaded to the CMS platform.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Verify all video columns are displayed correctly
5. Verify videos list is accessible
"
"failed","Thu Oct 23 17:26:39 UTC 2025","Thu Oct 23 17:27:03 UTC 2025","23651","tests","test_8_CMS_Video_Management","","","","test_NAF_8_7_0_Upload_Video_With_Unpublished_Status","
Test that an admin user can upload a new video to the platform with unpublished status.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Verify video is uploaded with unpublished status
6. Verify video appears in the videos list
"
"passed","Thu Oct 23 17:25:06 UTC 2025","Thu Oct 23 17:25:25 UTC 2025","18923","tests","test_8_CMS_Video_Management","","","","test_NAF_8_2_0_Videos_Uploaded_Sorted_By_Creation_Date","
Verify videos are sorted by creation date in descending order

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Verify all video columns are sorted by creation date in descending order
"
"passed","Thu Oct 23 17:44:01 UTC 2025","Thu Oct 23 17:44:22 UTC 2025","20380","tests","test_11_CMS_Notifications","","","","test_CMS_11_12_0_Close_Comments_View","
Test Case 212: Verify ability to close comments view.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Click on the first notification entry
7. Close the comments view using Escape key
8. Verify comments view is closed successfully
"
"broken","Thu Oct 23 17:33:24 UTC 2025","Thu Oct 23 17:33:33 UTC 2025","8522","tests","test_9_Programs_Management","","","","test_NAF_9_3_0_Search_Program","
Test that an admin user can search program by program's title.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section
4. Create a new program with random title
5. Search for the created program by title
6. Verify search results display the correct program
"
"passed","Thu Oct 23 17:38:20 UTC 2025","Thu Oct 23 17:38:57 UTC 2025","37063","tests","test_9_Programs_Management","","","","test_NAF_9_9_0_Popular_Nutrition_One_Tag_Selected","
Verify user can only choose one tag

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section
4. Create a new program with random title
5. Verify Popular or Nutrition tag is not selected by default
6. Toggle Popular or Nutrition tag
7. Verify tag is selected
8. Toggle Popular or Nutrition tag
9. Verify tag is not selected
6. Verify program is successfully deleted
"
"passed","Thu Oct 23 17:25:49 UTC 2025","Thu Oct 23 17:26:09 UTC 2025","20204","tests","test_8_CMS_Video_Management","","","","test_NAF_8_3_0_Search_Videos_Invalid_Keyword","
Test that an admin user can search videos by video title.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Search for the uploaded video by invalid keyword
6. Verify search results display no videos
"
"broken","Thu Oct 23 17:47:07 UTC 2025","Thu Oct 23 17:47:58 UTC 2025","50993","tests","test_12_CMS_Communities","","","","test_12_1_0_View_All_Communities","
Test Case 224: Verify Community Groups Visibility in CMS

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Postpartum community page
4. Verify visibility of all community groups
5. Check each community individually (Pregnant, Trying to Conceive, Postpartum)
"
"passed","Thu Oct 23 17:40:47 UTC 2025","Thu Oct 23 17:41:09 UTC 2025","22359","tests","test_11_CMS_Notifications","","","","test_CMS_11_4_0_Verify_Unread_Notifications_Exist","
Test Case 203: Verify that there is at least one unread notification.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Verify notification columns are visible
7. Verify all required columns are present
"
"passed","Thu Oct 23 17:41:09 UTC 2025","Thu Oct 23 17:41:34 UTC 2025","24376","tests","test_11_CMS_Notifications","","","","test_CMS_11_5_0_Mark_Notification_As_Unread","
Test Case 204: Verify the ""Mark as unread"" functionality after marking as read.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Switch to Read tab
5. Mark the first read notification as unread
6. Verify notification has been marked as unread
"
"passed","Thu Oct 23 17:49:47 UTC 2025","Thu Oct 23 17:50:40 UTC 2025","52639","tests","test_12_CMS_Communities","","","","test_12_6_0_pin_unpin_community_post","
Test Case 254: Verify Pinning a Post
Test Case 255: Verify Post Pinned to Top of Community Thread
Test Case 256: Verify Unpinning a Post

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Postpartum community page
4. Create a new post with image
5. Publish the post and verify creation
6. Pin the post
7. Unpin the post
8. Verify pin/unpin functionality works correctly
"
"passed","Thu Oct 23 17:30:18 UTC 2025","Thu Oct 23 17:30:50 UTC 2025","31652","tests","test_8_CMS_Video_Management","","","","test_NAF_8_10_0_Delete_Video","
Test that an admin user can delete a video using the 3 dots menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Delete the video using 3 dots menu
6. Verify video is successfully deleted
"
"passed","Thu Oct 23 17:41:34 UTC 2025","Thu Oct 23 17:41:53 UTC 2025","19658","tests","test_11_CMS_Notifications","","","","test_CMS_11_6_0_Mark_Multiple_Notifications_As_Read","
Test Case 205: Verify that marking multiple notifications as read works correctly.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark multiple notifications as read (up to 3)
5. Verify each notification is marked as read
"
"passed","Thu Oct 23 17:30:50 UTC 2025","Thu Oct 23 17:31:29 UTC 2025","39224","tests","test_8_CMS_Video_Management","","","","test_NAF_8_12_0_Upload_Thumbnail","
Test that an admin user can upload a video thumbnail.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Upload/Change thumbnail for the video
6. Verify thumbnail is successfully uploaded
"
"passed","Thu Oct 23 17:47:58 UTC 2025","Thu Oct 23 17:48:58 UTC 2025","60119","tests","test_12_CMS_Communities","","","","test_12_2_0_Create_Post_In_Community","
Test Case 225: Verify Admin Post Creation with Text and Image
Test Case 226: Verify Admin Post Draft Saving
Test Case 229: Verify Published Post Information

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Community page
4. Create a post with image and publish it
5. Verify the post is created and displayed
6. Create another post and save as draft
"
"passed","Thu Oct 23 17:24:02 UTC 2025","Thu Oct 23 17:24:25 UTC 2025","22936","tests","test_7_CMS_Authentication","","","","test_NAF_7_6_0_Edit_User_Role","
Test that a user with admin role has access to the whole list of mobile users, 
where admins are identified by ""admin"" role.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
6. Edit user role
7. Verify that the user role is updated
"
"passed","Thu Oct 23 17:22:43 UTC 2025","Thu Oct 23 17:23:04 UTC 2025","20714","tests","test_7_CMS_Authentication","","","","test_NAF_7_2_0_Login_As_Admin","
Test that a user with admin role can login to the content management platform 
using the same credentials as for the mobile app.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
"
"passed","Thu Oct 23 17:40:07 UTC 2025","Thu Oct 23 17:40:27 UTC 2025","20569","tests","test_11_CMS_Notifications","","","","test_CMS_11_2_0_Mark_First_Notification_As_Read","
Test Case 201: Verify the ""Mark as read"" button functionality.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark the first notification as read
5. Verify notification status changes
"
"passed","Thu Oct 23 17:48:58 UTC 2025","Thu Oct 23 17:49:47 UTC 2025","49093","tests","test_12_CMS_Communities","","","","test_12_4_0_delete_edit_own_and_others_post","
Test Case 238: Verify Admin/Coach Can Edit Own Post
Test Case 239: Verify Admin/Coach Can Delete Own Post
Test Case 242: Verify Admin/Coach Can Edit Own Reply
Test Case 243: Verify Admin/Coach Can Delete Own Reply

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Postpartum community page
4. Create a new post with image
5. Publish the post and verify creation
6. Edit the post with new content
7. Add a comment to the post
8. Delete the comment
9. Delete the post
"
"passed","Thu Oct 23 17:23:04 UTC 2025","Thu Oct 23 17:23:25 UTC 2025","21047","tests","test_7_CMS_Authentication","","","","test_NAF_7_3_0_Logout_of_AdminPanel","
Test that a user with admin role can successfully log out from the CMS.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
6. Click the logout button
7. Verify that the user is logged out
"
"passed","Thu Oct 23 17:39:46 UTC 2025","Thu Oct 23 17:40:07 UTC 2025","20640","tests","test_11_CMS_Notifications","","","","test_CMS_11_1_0_Verify_Notifications_Page","
Test Case 199: Verify the notifications page loads correctly.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Verify tabs are displayed correctly
5. Verify table headers are present
6. Verify notification rows are loaded
"
"broken","Thu Oct 23 17:36:36 UTC 2025","Thu Oct 23 17:37:41 UTC 2025","65140","tests","test_9_Programs_Management","","","","test_NAF_9_8_0_Edit_Program","
Test that an admin user can create and edit programs.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section
4. Create a new program with random title
5. Wait for page to load after program creation
6. Edit the created program
7. Verify changes are saved successfully
"
"passed","Thu Oct 23 17:32:39 UTC 2025","Thu Oct 23 17:32:56 UTC 2025","17234","tests","test_9_Programs_Management","","","","test_NAF_9_2_0_View_Programs_List","
Test that an admin user can view all programs list.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section
4. Verify programs list is displayed
5. Verify all programs are accessible
"
"passed","Thu Oct 23 17:42:59 UTC 2025","Thu Oct 23 17:43:32 UTC 2025","32977","tests","test_11_CMS_Notifications","","","","test_CMS_11_10_0_Reply_To_Comment","
Test Case 210: Verify ability to reply to a comment from notification.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Click on the first notification entry
7. Reply to the selected comment
8. Verify reply functionality works correctly
"
"passed","Thu Oct 23 17:42:40 UTC 2025","Thu Oct 23 17:42:59 UTC 2025","19275","tests","test_11_CMS_Notifications","","","","test_CMS_11_9_0_Access_Comment_From_Notification","
Test Case 209: Verify ability to access comment from notification.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Click on the first notification entry
7. Verify user is redirected to Comments view
8. Verify comment view access is successful
"
"passed","Thu Oct 23 17:43:32 UTC 2025","Thu Oct 23 17:44:01 UTC 2025","29278","tests","test_11_CMS_Notifications","","","","test_CMS_11_11_0_Reply_To_Program_Step_Thread","
Test Case 211: Verify ability to reply to program step thread from notification.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Click on the first notification entry
7. Reply to the program step thread
8. Verify reply functionality works correctly
"
"passed","Thu Oct 23 17:40:27 UTC 2025","Thu Oct 23 17:40:47 UTC 2025","19868","tests","test_11_CMS_Notifications","","","","test_CMS_11_3_0_Switch_Between_Tabs","
Test Case 202: Verify the switching between ""Unread"" and ""Read"" tabs.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Switch to Read tab
5. Switch to Unread tab
6. Verify tab switching works correctly
"
"passed","Thu Oct 23 17:25:25 UTC 2025","Thu Oct 23 17:25:49 UTC 2025","23907","tests","test_8_CMS_Video_Management","","","","test_NAF_8_3_0_Search_Videos","
Test that an admin user can search videos by video title.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Search for the uploaded video by title
6. Verify search results display the correct video
"
"passed","Thu Oct 23 17:44:42 UTC 2025","Thu Oct 23 17:45:14 UTC 2025","31057","tests","test_11_CMS_Notifications","","","","test_CMS_11_14_0_Delete_From_Comment_Thread","
Test Case 214: Verify ability to delete comment from comment/question thread.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Open the first comment thread
7. Delete comment in thread
8. Verify comment is deleted successfully
"
"passed","Thu Oct 23 17:42:18 UTC 2025","Thu Oct 23 17:42:40 UTC 2025","21823","tests","test_11_CMS_Notifications","","","","test_CMS_11_8_0_Notification_Status_After_Page_Reload","
Test Case 208: Verify notification status persists after page reload.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark a notification as read/unread
5. Reload the page
6. Verify notification moved to correct tab
7. Verify status persists after reload
"
"passed","Thu Oct 23 17:23:25 UTC 2025","Thu Oct 23 17:24:02 UTC 2025","36613","tests","test_7_CMS_Authentication","","","","test_NAF_7_4_0_Edit_Profile","
Test that a user with admin role can access the profile page and edit profile information.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
6. Click the profile button
7. Verify that the user is on the profile page
8. Click the edit profile button
9. Enter the new profile information
10. Click the save button
11. Verify that the profile information is updated
"
"passed","Thu Oct 23 17:44:22 UTC 2025","Thu Oct 23 17:44:42 UTC 2025","20683","tests","test_11_CMS_Notifications","","","","test_CMS_11_13_0_Delete_From_Three_Dots_Menu","
Test Case 213: Verify ability to delete notification from 3 dots menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Delete notification from 3 dots menu
7. Verify notification is deleted successfully
"
"passed","Thu Oct 23 17:33:33 UTC 2025","Thu Oct 23 17:34:12 UTC 2025","39303","tests","test_9_Programs_Management","","","","test_NAF_9_6_0_Delete_Program","
Test that an admin user can delete program using the 3 dots menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section
4. Create a new program with random title
5. Delete the program using 3 dots menu
6. Verify program is successfully deleted
"
"passed","Thu Oct 23 17:32:20 UTC 2025","Thu Oct 23 17:32:39 UTC 2025","18956","tests","test_9_Programs_Management","","","","test_NAF_9_1_0_Navigate_To_Programs_Section","
Test that an admin user can navigate to the program section of the app through the side menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section via side menu
4. Verify successful navigation to programs section
"
"passed","Thu Oct 23 17:24:25 UTC 2025","Thu Oct 23 17:24:43 UTC 2025","18740","tests","test_8_CMS_Video_Management","","","","test_NAF_8_1_0_Navigate_To_Video_Section","
Test that an admin user can navigate to the Video section of the CMS platform through the sidebar menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section via sidebar menu
4. Verify successful navigation to video section
"
"broken","Thu Oct 23 17:28:58 UTC 2025","Thu Oct 23 17:29:51 UTC 2025","53704","tests","test_8_CMS_Video_Management","","","","test_NAF_8_8_0_Update_Video_Details","
Test that an admin user can select a video and update its details.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Select the uploaded video
6. Update video details
7. Verify changes are saved successfully
"
"passed","Thu Oct 23 17:37:41 UTC 2025","Thu Oct 23 17:38:20 UTC 2025","39405","tests","test_9_Programs_Management","","","","test_NAF_9_9_0_Popular_Nutrition_Tags","
Verify user can toggle Popular or Nutrition tag when creating a program

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section
4. Create a new program with random title
5. Verify Popular or Nutrition tag is not selected by default
6. Toggle Popular or Nutrition tag
7. Verify tag is selected
8. Toggle Popular or Nutrition tag
9. Verify tag is not selected
6. Verify program is successfully deleted
"
"passed","Thu Oct 23 17:41:53 UTC 2025","Thu Oct 23 17:42:18 UTC 2025","24622","tests","test_11_CMS_Notifications","","","","test_CMS_11_7_0_Mark_Single_Notification_As_Read_Unread","
Test Case 207: Verify marking a single notification as read and unread.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark a single notification as read
5. Mark the same notification as unread
6. Verify status changes correctly
"
