"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 23 19:24:21 UTC 2025","Thu Oct 23 19:24:44 UTC 2025","22954","tests","test_8_CMS_Video_Management","","","","test_NAF_8_3_0_Search_Videos","
Test that an admin user can search videos by video title.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Search for the uploaded video by title
6. Verify search results display the correct video
"
"passed","Thu Oct 23 19:29:56 UTC 2025","Thu Oct 23 19:30:41 UTC 2025","44617","tests","test_9_Programs_Management","","","","test_NAF_9_6_0_Delete_Program","
Test that an admin user can delete program using the 3 dots menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section
4. Create a new program with random title
5. Delete the program using 3 dots menu
6. Verify program is successfully deleted
"
"passed","Thu Oct 23 19:38:14 UTC 2025","Thu Oct 23 19:38:43 UTC 2025","28051","tests","test_11_CMS_Notifications","","","","test_CMS_11_13_0_Delete_From_Three_Dots_Menu","
Test Case 213: Verify ability to delete notification from 3 dots menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Delete notification from 3 dots menu
7. Verify notification is deleted successfully
"
"passed","Thu Oct 23 19:36:34 UTC 2025","Thu Oct 23 19:36:54 UTC 2025","20152","tests","test_11_CMS_Notifications","","","","test_CMS_11_9_0_Access_Comment_From_Notification","
Test Case 209: Verify ability to access comment from notification.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Click on the first notification entry
7. Verify user is redirected to Comments view
8. Verify comment view access is successful
"
"passed","Thu Oct 23 19:41:24 UTC 2025","Thu Oct 23 19:42:12 UTC 2025","48057","tests","test_12_CMS_Communities","","","","test_NAF_12_6_0_pin_unpin_community_post","
Test Case 254: Verify Pinning a Post
Test Case 255: Verify Post Pinned to Top of Community Thread
Test Case 256: Verify Unpinning a Post

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Postpartum community page
4. Create a new post with image
5. Publish the post and verify creation
6. Pin the post
7. Unpin the post
8. Verify pin/unpin functionality works correctly
"
"passed","Thu Oct 23 19:35:07 UTC 2025","Thu Oct 23 19:35:32 UTC 2025","24992","tests","test_11_CMS_Notifications","","","","test_CMS_11_5_0_Mark_Notification_As_Unread","
Test Case 204: Verify the ""Mark as unread"" functionality after marking as read.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Switch to Read tab
5. Mark the first read notification as unread
6. Verify notification has been marked as unread
"
"passed","Thu Oct 23 19:35:32 UTC 2025","Thu Oct 23 19:35:52 UTC 2025","19384","tests","test_11_CMS_Notifications","","","","test_CMS_11_6_0_Mark_Multiple_Notifications_As_Read","
Test Case 205: Verify that marking multiple notifications as read works correctly.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark multiple notifications as read (up to 3)
5. Verify each notification is marked as read
"
"passed","Thu Oct 23 19:22:18 UTC 2025","Thu Oct 23 19:22:58 UTC 2025","39102","tests","test_7_CMS_Authentication","","","","test_NAF_7_4_0_Edit_Profile","
Test that a user with admin role can access the profile page and edit profile information.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
6. Click the profile button
7. Verify that the user is on the profile page
8. Click the edit profile button
9. Enter the new profile information
10. Click the save button
11. Verify that the profile information is updated
"
"passed","Thu Oct 23 19:25:04 UTC 2025","Thu Oct 23 19:25:30 UTC 2025","25773","tests","test_8_CMS_Video_Management","","","","test_NAF_8_7_0_Upload_Video_With_Unpublished_Status","
Test that an admin user can upload a new video to the platform with unpublished status.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Verify video is uploaded with unpublished status
6. Verify video appears in the videos list
"
"passed","Thu Oct 23 19:23:39 UTC 2025","Thu Oct 23 19:24:00 UTC 2025","21841","tests","test_8_CMS_Video_Management","","","","test_NAF_8_2_0_View_All_Videos_Uploaded","
Test that an admin user can view all videos uploaded to the CMS platform.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Verify all video columns are displayed correctly
5. Verify videos list is accessible
"
