"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test that a user with admin role can login to the content management platform 
using the same credentials as for the mobile app.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
","6394","test_NAF_7_2_0_Login_As_Admin","tests","Fri Jul 25 10:24:14 CST 2025","passed","Fri Jul 25 10:24:21 CST 2025","","test_7_CMS_Authentication","",""
"
Test that an admin user can upload a new video to the platform with unpublished status.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Verify video is uploaded with unpublished status
6. Verify video appears in the videos list
","12937","test_NAF_8_7_0_Upload_Video_With_Unpublished_Status","tests","Fri Jul 25 10:25:17 CST 2025","passed","Fri Jul 25 10:25:30 CST 2025","","test_8_CMS_Video_Management","",""
"
Test that an admin user can view all videos uploaded to the CMS platform.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Verify all video columns are displayed correctly
5. Verify videos list is accessible
","2760","test_NAF_8_2_0_View_All_Videos_Uploaded","tests","Fri Jul 25 10:25:01 CST 2025","passed","Fri Jul 25 10:25:04 CST 2025","","test_8_CMS_Video_Management","",""
"
Test Case 201: Verify the ""Mark as read"" button functionality.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark the first notification as read
5. Verify notification status changes
","5646","test_CMS_201_Mark_First_Notification_As_Read","tests","Fri Jul 25 10:28:23 CST 2025","passed","Fri Jul 25 10:28:29 CST 2025","","test_11_CMS_Notifications","",""
"
    Test Case: NAF-37, NAF-39
    As a registered user I can view and update my bio
    Scenario: Update Bio
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Enter bio content
    5. Click on ""Save"" button
    6. Verify bio content is updated
    
    Expected Result: Bio content is updated
    ","104842","test_NAF_3_2_0_update_bio","tests.android","Fri Jul 25 10:33:19 CST 2025","broken","Fri Jul 25 10:35:04 CST 2025","TestPersonInformationManagement","test_3_Account_Setup","",""
"
    Test Case: NAF-433
    As a user, I want to be able to log out from the app
    Scenario: Logout and Relogin
    
    Steps:
    1. Open the app
    2. Go to ""My Profile"" button
    3. Click on ""Log out"" button
    4. Verify successful logout
    5. Click on ""Log in"" button
    6. Verify successful login
    
    Expected Result: User should be successfully logged in and redirected to the main app
    ","104829","test_logout_and_relogin","tests.android","Fri Jul 25 10:41:49 CST 2025","broken","Fri Jul 25 10:43:34 CST 2025","TestLogout","test_2_Authentication_logout","",""
"
Test that an admin user can select a video and update its details.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Select the uploaded video
6. Update video details
7. Verify changes are saved successfully
","18172","test_NAF_8_8_0_Update_Video_Details","tests","Fri Jul 25 10:25:30 CST 2025","passed","Fri Jul 25 10:25:48 CST 2025","","test_8_CMS_Video_Management","",""
"
Test that a user with admin role can access the profile page and edit profile information.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
6. Click the profile button
7. Verify that the user is on the profile page
8. Click the edit profile button
9. Enter the new profile information
10. Click the save button
11. Verify that the profile information is updated
","22164","test_NAF_7_4_0_Edit_Profile","tests","Fri Jul 25 10:24:27 CST 2025","passed","Fri Jul 25 10:24:49 CST 2025","","test_7_CMS_Authentication","",""
"
    Test Case: NAF-15
    As a user, I want to log in with my email and password
    Scenario: Login Unsuccessful due to Non-existent Email
    
    Steps:
    1. Open the app
    2. Click on ""Log in"" button
    3. Click on ""Sign in with your email"" button
    4. Enter non-existent email: test@example.com
    5. Enter password: testpassword
    6. Click ""Log in"" button
    7. Verify error message appears
    
    Expected Result: Error message ""There is no account associated with this email. Please sign up."" should be displayed
    ","7","test_NAF_2_2_0_login_with_wrong_email","tests.android","Fri Jul 25 10:29:25 CST 2025","broken","Fri Jul 25 10:29:25 CST 2025","TestAuthentication","test_2_Authentication","",""
"
Test that an admin user can navigate to the Video section of the CMS platform through the sidebar menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section via sidebar menu
4. Verify successful navigation to video section
","3726","test_NAF_8_1_0_Navigate_To_Video_Section","tests","Fri Jul 25 10:24:58 CST 2025","passed","Fri Jul 25 10:25:01 CST 2025","","test_8_CMS_Video_Management","",""
