"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test that an admin user can view all videos uploaded to the CMS platform.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Verify all video columns are displayed correctly
5. Verify videos list is accessible
","2008","test_NAF_8_2_0_View_All_Videos_Uploaded","tests","Mon Jul 14 12:18:50 JST 2025","passed","Mon Jul 14 12:18:52 JST 2025","","test_8_CMS_Video_Management","",""
"
Test that an admin user can pin and unpin selected posts.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Postpartum community page
4. Create a new post with image
5. Publish the post and verify creation
6. Pin the post
7. Unpin the post
8. Verify pin/unpin functionality works correctly
","38736","test_1260_pin_unpin_community_post","tests","Mon Jul 14 12:37:10 JST 2025","broken","Mon Jul 14 12:37:49 JST 2025","","test_12_CMS_Communities","",""
"
    Test Case: NAF-93, NAF-96, NAF-97
    As a user on the home page I should be able to see the list of recommended programs
    Scenario: View list of recommended programs
    Steps:
    ","0","test_view_recommended_programs","tests","Mon Jul 14 12:38:13 JST 2025","broken","Mon Jul 14 12:38:13 JST 2025","TestProgramManagement","test_4_Program_Management","",""
"
Test that an admin can delete and edit own posts, replies and posts/replies created by others.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Postpartum community page
4. Create a new post with image
5. Publish the post and verify creation
6. Edit the post with new content
7. Add a comment to the post
8. Delete the comment
9. Delete the post
","37908","test_1240_delete_edit_own_and_others_post","tests","Mon Jul 14 12:35:14 JST 2025","broken","Mon Jul 14 12:35:52 JST 2025","","test_12_CMS_Communities","",""
"
Test that a user with admin role can successfully log out from the CMS.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
6. Click the logout button
7. Verify that the user is logged out
","4116","test_NAF_7_3_0_Logout_of_AdminPanel","tests","Mon Jul 14 12:18:17 JST 2025","passed","Mon Jul 14 12:18:21 JST 2025","","test_7_CMS_Authentication","",""
"","0","test_program_comment","tests","Mon Jul 14 12:38:15 JST 2025","broken","Mon Jul 14 12:38:15 JST 2025","TestProgramManagement","test_4_Program_Management","",""
"
Test Case 214: Verify ability to delete comment from comment/question thread.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Open the first comment thread
7. Delete comment in thread
8. Verify comment is deleted successfully
","36270","test_CMS_214_Delete_From_Comment_Thread","tests","Mon Jul 14 12:29:30 JST 2025","broken","Mon Jul 14 12:30:06 JST 2025","","test_11_CMS_Notifications","",""
"
Test that an admin user can select a video and update its details.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Select the uploaded video
6. Update video details
7. Verify changes are saved successfully
","11255","test_NAF_8_8_0_Update_Video_Details","tests","Mon Jul 14 12:19:06 JST 2025","passed","Mon Jul 14 12:19:18 JST 2025","","test_8_CMS_Video_Management","",""
"
    Test Case: NAF-12
    As a user during onboarding, I should be able to start one of the recommended programs right from the onboarding
    Scenario: Successful Login 
                         
    Steps:
    1. Open the app, assume the user is logged in
    2. Click on first recommended program
    3. Verify ""Start Program"" button is displayed
    4. Click on ""Start Program"" button
    5. Finish first day of the program
    ","0","test_join_program","tests","Mon Jul 14 12:38:10 JST 2025","broken","Mon Jul 14 12:38:10 JST 2025","TestProgramManagement","test_4_Program_Management","",""
"
Test that an admin user can create and edit programs.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section
4. Create a new program with random title
5. Wait for page to load after program creation
6. Edit the created program
7. Verify changes are saved successfully
","32860","test_NAF_980_Edit_Program","tests","Mon Jul 14 12:26:25 JST 2025","broken","Mon Jul 14 12:26:58 JST 2025","","test_9_Programs_Management","",""
"
    Test Case: NAF-40
    As a registered user I can view and update profile image
    Scenario: Edit Profile Picture
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Click on ""Take a picture"" button
    5. Select a photo from the device
    ","0","test_NAF_3_3_0_edit_profile_picture","tests","Mon Jul 14 12:38:03 JST 2025","broken","Mon Jul 14 12:38:03 JST 2025","TestPersonInformationManagement","test_3_Account_Setup","",""
"
    Test Case: NAF-55
    As a registered user I can view and update my profile settings
    Scenario: Modify Name
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Enter name
    5. Click on ""Save"" button
    ","0","test_NAF_3_4_0_modify_name","tests","Mon Jul 14 12:38:05 JST 2025","broken","Mon Jul 14 12:38:05 JST 2025","TestPersonInformationManagement","test_3_Account_Setup","",""
"
Test that an admin can view all communities from the CMS.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Postpartum community page
4. Verify visibility of all community groups
5. Check each community individually (Pregnant, Trying to Conceive, Postpartum)
","36813","test_1210_View_All_Communities","tests","Mon Jul 14 12:31:23 JST 2025","broken","Mon Jul 14 12:32:00 JST 2025","","test_12_CMS_Communities","",""
"
Test Case 212: Verify ability to close comments view.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Click on the first notification entry
7. Close the comments view using Escape key
8. Verify comments view is closed successfully
","2911","test_CMS_212_Close_Comments_View","tests","Mon Jul 14 12:28:03 JST 2025","passed","Mon Jul 14 12:28:06 JST 2025","","test_11_CMS_Notifications","",""
"
Test that an admin user can upload a new video to the platform with unpublished status.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Verify video is uploaded with unpublished status
6. Verify video appears in the videos list
","9107","test_NAF_8_7_0_Upload_Video_With_Unpublished_Status","tests","Mon Jul 14 12:18:57 JST 2025","passed","Mon Jul 14 12:19:06 JST 2025","","test_8_CMS_Video_Management","",""
"
Test that a user with admin role can login to the content management platform 
using the same credentials as for the mobile app.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
","1960","test_NAF_7_2_0_Login_As_Admin","tests","Mon Jul 14 12:18:15 JST 2025","passed","Mon Jul 14 12:18:17 JST 2025","","test_7_CMS_Authentication","",""
"
Test Case 203: Verify that there is at least one unread notification.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Verify notification columns are visible
7. Verify all required columns are present
","2853","test_CMS_203_Verify_Unread_Notifications_Exist","tests","Mon Jul 14 12:27:07 JST 2025","passed","Mon Jul 14 12:27:10 JST 2025","","test_11_CMS_Notifications","",""
"
Test Case 201: Verify the ""Mark as read"" button functionality.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark the first notification as read
5. Verify notification status changes
","3727","test_CMS_201_Mark_First_Notification_As_Read","tests","Mon Jul 14 12:27:01 JST 2025","passed","Mon Jul 14 12:27:05 JST 2025","","test_11_CMS_Notifications","",""
"
Test that an admin user can upload a video thumbnail.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Upload/Change thumbnail for the video
6. Verify thumbnail is successfully uploaded
","45346","test_NAF_8_12_0_Upload_Thumbnail","tests","Mon Jul 14 12:21:10 JST 2025","broken","Mon Jul 14 12:21:56 JST 2025","","test_8_CMS_Video_Management","",""
"
Test Case 208: Verify notification status persists after page reload.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark a notification as read/unread
5. Reload the page
6. Verify notification moved to correct tab
7. Verify status persists after reload
","6929","test_CMS_208_Notification_Status_After_Page_Reload","tests","Mon Jul 14 12:27:28 JST 2025","passed","Mon Jul 14 12:27:35 JST 2025","","test_11_CMS_Notifications","",""
"
Test that an admin user can view all programs list.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section
4. Verify programs list is displayed
5. Verify all programs are accessible
","1944","test_NAF_920_View_Programs_List","tests","Mon Jul 14 12:21:58 JST 2025","passed","Mon Jul 14 12:22:00 JST 2025","","test_9_Programs_Management","",""
"
Test that a user with admin role can access the profile page and edit profile information.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
6. Click the profile button
7. Verify that the user is on the profile page
8. Click the edit profile button
9. Enter the new profile information
10. Click the save button
11. Verify that the profile information is updated
","19274","test_NAF_7_4_0_Edit_Profile","tests","Mon Jul 14 12:18:21 JST 2025","passed","Mon Jul 14 12:18:41 JST 2025","","test_7_CMS_Authentication","",""
"
Test that an admin user can search videos by video title.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Search for the uploaded video by title
6. Verify search results display the correct video
","5819","test_NAF_8_3_0_Search_Videos","tests","Mon Jul 14 12:18:52 JST 2025","passed","Mon Jul 14 12:18:57 JST 2025","","test_8_CMS_Video_Management","",""
"","0","test_like_post_2_1_0","tests","Mon Jul 14 12:38:23 JST 2025","broken","Mon Jul 14 12:38:23 JST 2025","TestCommunityManagement","test_14_Community","",""
"
Test Case 205: Verify that marking multiple notifications as read works correctly.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark multiple notifications as read (up to 3)
5. Verify each notification is marked as read
","2580","test_CMS_205_Mark_Multiple_Notifications_As_Read","tests","Mon Jul 14 12:27:21 JST 2025","passed","Mon Jul 14 12:27:24 JST 2025","","test_11_CMS_Notifications","",""
"
Test Case 207: Verify marking a single notification as read and unread.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark a single notification as read
5. Mark the same notification as unread
6. Verify status changes correctly
","3836","test_CMS_207_Mark_Single_Notification_As_Read_Unread","tests","Mon Jul 14 12:27:24 JST 2025","passed","Mon Jul 14 12:27:28 JST 2025","","test_11_CMS_Notifications","",""
